KOI,logAiso,E_logAiso,e_logAiso,a3,loc3,scale3,a5,loc5,scale5
K00201,9.37,0.28,0.45,-29.366010414610784,9.77533915731848,0.6075147656879931,-1.7359487649444532,9.658588272325957,0.508240658526509
K00203,8.99,0.37,0.37,-0.033683621453874935,8.999997166577186,0.37219630632588296,0.08390781743790399,8.964522463352216,0.38081111659263767
K00209,9.66,0.09,0.06,5.439270635887695,9.57691119978653,0.12318860128043996,1.541295459140386,9.603164994371227,0.1014578449077258
K00211,9.95,0.04,0.04,1.1802490007539745e-07,9.949999996212197,0.04022292012095541,-0.1006738665343363,9.953306958261528,0.04120865627903092
K00214,9.69,0.16,0.24,-5.439270635890509,9.911570133902593,0.3285029367478469,-1.5412976598973245,9.841560273771456,0.2705543382207598
K00232,9.9,0.06,0.07,-1.8018029874357353,9.959703147855503,0.09236374085388999,-0.8749461833399579,9.937026146201148,0.07741100079484342
K00237,9.6,0.16,0.25,-30.248557521483036,9.829238921174962,0.34088633579538175,-1.6551904991976158,9.759460374140998,0.282168709096408
K00238,9.7,0.07,0.08,-1.6557397855877696,9.766535312940556,0.10440863594400618,-0.8169504108619208,9.74087683668327,0.08817459088043611
K00241,10.11,0.03,0.07,-26.760176534800564,10.160698731427477,0.08419899231493078,-3.069916611283446,10.15515331623528,0.0790951756561099
K00244,9.55,0.09,0.1,-1.4554783285175006,9.629329339639387,0.12797992336885433,-0.733588743242521,9.598118597208158,0.10960998360775043
K00245,9.92,0.15,0.3,-26.310789146943762,10.156809474640006,0.37714024751293707,-2.4456797905256167,10.115160999896212,0.3394044071441549
K00246,9.87,0.07,0.08,0.005379785342825016,9.866342945931827,0.07541855057146862,-0.8169396795955777,9.910876150028745,0.0881743836203559
K00257,9.33,0.13,0.28,-30.049699879650092,9.541908549440748,0.3443967646822368,-2.7300072427393474,9.511655670185368,0.3166455785355048
K00260,9.66,0.08,0.05,24.138051911083096,9.5877371807574,0.10817153130417445,1.7230520596373395,9.608735637846564,0.09034519974797484
K00261,9.25,0.28,0.21,2.923090103469278,8.993655890742188,0.38172050872918606,1.2275997298083894,9.081618075355747,0.3138539933528922
K00262,9.67,0.08,0.09,-1.5442691437267797,9.743061831002755,0.11626904581335284,-0.771073107684046,9.71456590108791,0.0989058974204925
K00263,9.82,0.02,0.02,1.359310601856123e-07,9.819999997818766,0.020111460060477038,-0.08374300185249695,9.821374450778595,0.020584206263285942
K00265,9.59,0.09,0.1,-1.4554783285173158,9.669329339639381,0.12797992336885078,-0.7335896700962081,9.638118674105637,0.1096100062261054
K00266,9.62,0.09,0.12,-2.9230901034691072,9.729861761110486,0.16359450374107687,-1.22759873619367,9.692163608023158,0.13450883043631823
K00268,9.43,0.06,0.22,-25.93326010819743,9.558092145483572,0.2385655148879643,-6.045287890034032,9.563288155780262,0.24640444972447662
K00269,9.57,0.06,0.06,-0.014045047905142383,9.570676100488495,0.060338168255882674,-0.00018499007569516834,9.570009091990249,0.061615860558175584
K00271,9.43,0.08,0.06,2.9230901034693773,9.356758825926338,0.10906300249405387,1.2275961855123114,9.381891054231167,0.08967251295293588
K00273,9.64,0.14,0.14,-0.014136240474158512,9.64158780992446,0.14078917442024508,4.615850070877059e-05,9.639994693126738,0.1437703365363051
K00274,9.71,0.06,0.12,-25.520619629951028,9.804723789239311,0.15085609823060864,-2.445674279462395,9.788064233151566,0.13576170843814284
K00275,9.7,0.12,0.06,23.1542517038464,9.605276210742398,0.15085609902403962,2.4456859983614123,9.62193541087322,0.1357618252418623
K00276,9.8,0.08,0.09,-1.5442691437264102,9.873061831002744,0.11626904581334574,-0.771063795053621,9.844565161084473,0.09890567408823936
K00277,9.87,0.03,0.03,1.3019234756939113e-07,9.869999996866277,0.030167190090715557,0.08424113095244934,9.867926027695024,0.03087711957736272
K00279,9.41,0.04,0.05,-2.321426603226456,9.454848655974288,0.06750712058899844,-1.0595343053466308,9.438683066346629,0.055755643861873594
K00280,9.86,0.08,0.1,-2.3214266032270814,9.94969731194859,0.13501424117800764,-1.0595310796706627,9.917365908115565,0.11151121659423413
K00281,10.12,0.02,0.02,-0.018548991555007888,10.120297628490421,0.02011366229205447,-0.0009591621542739404,10.12001571801018,0.020538626135302995
K00282,9.96,0.07,0.07,-0.01571569982110077,9.960882600727272,0.07039564341037252,-0.006261246327497361,9.960359123145292,0.07188606816877985
K00283,9.01,0.42,0.52,-2.2443920371413952,9.474210127198715,0.7005114168862083,-1.0344420026886212,9.30565495176512,0.5793080412628927
K00284,9.81,0.15,0.3,-26.233389879849454,10.046809476246251,0.37714024963080484,-2.445674006725767,10.005161607962876,0.3394045702199433
K00285,9.6,0.13,0.05,24.575284145621183,9.51105299695102,0.1520262470798116,3.5953710672309143,9.517086602924072,0.1466535994525051
K00288,9.36,0.03,0.04,-2.9230901034693346,9.39662058703683,0.05453150124702566,-1.2275999730204603,9.384054566647004,0.04483628671220685
K00289,9.96,0.03,0.03,1.4496859535029216e-07,9.959999996510616,0.030167190090721552,0.11432493932419163,9.957181678549887,0.03093474744621394
K00291,9.78,0.09,0.09,0.012762786856356456,9.779078431267731,0.0905062623077777,0.10764579382222905,9.772041746136262,0.09276147276628666
K00292,9.89,0.11,0.14,-2.4731766918943805,10.016530311553334,0.18969470679471234,-1.106565117099251,9.971547698487491,0.15637311488398398
K00294,9.42,0.17,0.22,-2.623145581027501,9.619949751206132,0.2988833706339715,-1.1499369927970235,9.54976636405489,0.24606782049457765
K00295,9.62,0.16,0.22,-3.2945668010198403,9.822350032344522,0.3005897173176434,-1.308061023577551,9.754492399102752,0.24706226815301813
K00296,10.02,0.06,0.08,-2.9230901034696046,10.093241174073663,0.10906300249405454,-1.2276004002774528,10.068109154367534,0.08967258018806223
K00297,9.53,0.07,0.12,-24.44218785269139,9.633837416303827,0.15845689822213482,-1.9288032384177143,9.607629851063379,0.13567624900977737
