kepid,rrmscdpp03p0
10130057,211.47400000000002
10130071,191.24200000000002
10130076,70.40100000000001
10130148,164.051
10130153,255.385
10130225,50.993
10130235,77.084
10130243,160.628
10004974,165.31900000000002
10004975,53.931000000000004
10004991,173.24900000000002
10005020,147.36700000000002
10005048,229.419
10005056,163.303
10005093,244.945
10005119,190.769
10005147,30.48
10005151,135.96200000000002
10005188,133.379
10005217,169.0
10011125,235.84799999999998
10011138,260.105
10011212,185.45
10011213,247.375
10011306,253.69
10011329,109.45700000000001
10011348,200.217
10011398,76.816
10011399,49.551
10011411,246.054
10011415,288.584
10011524,280.478
10014201,313.218
10018714,245.26
10018771,68.324
10018778,44.321000000000005
10018791,235.62400000000002
10018802,130.434
10018805,229.826
10018811,182.565
10018820,494.69300000000004
10018828,154.922
10018832,246.296
10018836,104.637
10018842,41.013000000000005
10024565,219.94299999999998
10024566,308.638
10024591,202.02599999999998
10024620,130.95600000000002
10024625,94.24600000000001
10024641,80.013
10024648,31.537
10024674,185.63400000000001
10024686,140.681
10024687,99.4
10024701,79.487
10024707,326.77299999999997
10028414,234.898
10028433,265.157
10028447,163.957
10028450,239.55900000000003
10028454,296.438
10028461,101.439
10028489,268.243
10028495,258.33299999999997
10028524,83.479
10028535,201.075
10028547,189.828
10028569,146.30700000000002
10028578,112.706
10033646,97.152
10033745,
10033761,101.146
10033830,98.648
10033833,441.224
10033959,232.37099999999998
10034043,177.046
10034146,138.065
10034169,199.271
10034197,258.719
10034202,231.33
10034227,69.208
10034234,176.139
10057460,175.458
10057494,55.79600000000001
10057511,64.294
10057516,131.076
10057537,347.327
10057552,199.737
10057563,473.885
10057582,496.88699999999994
10057597,85.154
10057620,34.903
10057622,253.334
10057632,214.854
10057634,95.09700000000001
10064822,149.757
10064857,229.149
10064860,188.326
10064876,158.439
10064921,53.978
10064965,234.53900000000002
10064988,237.493
10065001,210.31900000000002
10065049,42.092
10065053,229.486
10065069,102.476
10065083,73.992
10065092,330.843
10068833,123.164
10068842,147.47799999999998
10068867,159.028
10068883,201.833
10068884,124.11399999999999
10068892,82.396
10068895,209.597
10068906,193.09
10068919,123.385
10068939,132.105
10068996,124.696
10069008,233.733
10069045,161.471
10075155,257.545
10075157,144.746
10075199,83.745
10075215,101.645
10075223,270.661
10075292,192.06599999999997
10075316,160.704
10075320,230.195
10075388,306.27299999999997
10075409,288.345
10075468,263.166
10075527,295.377
10075553,205.808
10082556,117.699
10082567,502.23800000000006
10082571,250.332
10082573,278.827
10082576,94.37
10082580,237.954
10082581,141.188
10082591,138.55200000000002
10082602,148.154
10082605,512.919
10082611,167.62
10082618,166.28400000000002
10082650,212.157
10088464,286.714
10088473,218.373
10088524,153.447
10088528,274.194
10088590,214.73
10088610,302.565
10088619,144.97299999999998
10088621,64.589
10088639,87.583
10088640,122.179
10088648,310.625
10088686,160.403
10091851,178.737
10092003,206.467
10092017,151.577
10092065,138.586
10092103,234.24200000000002
10092136,223.137
10092157,161.148
10092163,215.33700000000002
10092216,138.43200000000002
10092237,212.675
10092245,238.53400000000002
10092276,156.26
10092281,198.93099999999998
10097553,334.85
10097594,
10097622,333.27099999999996
10097661,129.134
10097676,83.755
10097755,151.584
10097763,39.051
10097821,77.079
10097840,103.665
10097880,389.444
10097942,116.82600000000001
10097944,179.19099999999997
10098068,378.45300000000003
10122402,87.085
10122419,65.322
10122469,191.343
10122487,165.865
10122520,203.86700000000002
10122538,475.44300000000004
10122598,528.0930000000001
10122671,66.86
10122684,95.79899999999999
10122722,273.66700000000003
10122735,59.336999999999996
10122743,51.177
10122768,133.769
10001198,116.368
10001224,129.37
10001270,143.486
10001276,52.736000000000004
10001284,88.458
10001304,74.079
10001305,180.967
10001312,193.479
10001313,240.19799999999998
10001322,130.078
10001326,189.545
10001368,84.973
10005239,214.821
10005274,81.285
10005278,160.204
10005321,88.389
10005351,35.478
10005353,207.24400000000003
10005358,112.963
10005361,87.42200000000001
10005367,69.47
10005397,92.23
10005417,536.914
10005422,117.73
10005428,145.97899999999998
10005429,188.817
10014340,103.405
10014367,60.24100000000001
10014536,
10014548,235.71200000000002
10014558,100.72
10014569,224.387
10014574,78.327
10014578,91.516
10014604,125.12100000000001
10014628,179.165
10014630,66.008
10014635,139.15
10018857,143.32399999999998
10018866,104.616
10018870,197.55900000000003
