KOI,logAiso,E_logAiso,e_logAiso
K00665,9.56,0.05,0.06
K00666,9.62,0.2,0.33
K00670,9.96,0.03,0.04
K00671,9.67,0.09,0.1
K00672,9.29,0.31,0.49
K00673,9.17,0.16,0.2
K00674,9.78,0.08,0.06
K00678,8.96,0.41,0.56
K00679,9.71,0.1,0.07
K00680,9.42,0.12,0.05
K00682,9.51,0.21,0.33
K00683,9.37,0.23,0.28
K00684,9.89,0.02,0.02
K00685,9.38,0.04,0.04
K00686,10.02,0.07,0.09
K00688,9.64,0.09,0.07
K00689,10.11,0.03,0.06
K00691,10.0,0.03,0.04
K00692,9.87,0.1,0.12
K00693,9.73,0.07,0.09
K00694,8.88,0.45,0.46
K00695,10.08,0.04,0.07
K00700,10.09,0.04,0.07
K00701,10.03,0.09,0.21
K00703,9.25,0.04,0.05
K00704,9.4,0.28,0.63
K00707,9.68,0.11,0.06
K00708,9.71,0.07,0.08
K00709,10.01,0.09,0.14
K00710,9.38,0.04,0.04
K00711,9.48,0.21,0.36
K00714,8.99,0.56,0.39
K00717,9.87,0.08,0.09
K00718,9.4,0.15,0.48
K00719,9.58,0.39,0.58
K00720,9.25,0.25,0.51
K00721,9.82,0.05,0.14
K00722,9.65,0.09,0.12
K00723,9.07,0.36,0.43
K00730,9.95,0.05,0.05
K00732,9.38,0.31,0.48
K00733,9.35,0.43,0.57
K00734,9.64,0.09,0.11
K00738,9.74,0.26,0.44
K00749,9.62,0.26,0.47
K00752,9.6,0.23,0.4
K00756,9.83,0.12,0.19
K00757,9.31,0.43,0.56
K00759,9.86,0.2,0.37
K00760,9.6,0.19,0.33
K00771,9.83,0.11,0.15
K00800,9.46,0.18,0.32
K00806,9.1,0.38,0.46
K00825,9.48,0.36,0.56
K00829,9.82,0.13,0.2
K00834,9.68,0.12,0.06
K00835,9.48,0.37,0.54
K00837,9.28,0.39,0.55
K00841,9.17,0.42,0.48
K00853,9.43,0.41,0.69
K00857,9.27,0.39,0.55
K00864,9.38,0.32,0.43
K00869,9.49,0.35,0.52
K00870,9.46,0.39,0.63
K00872,9.37,0.37,0.52
K00874,9.1,0.39,0.52
K00880,9.15,0.39,0.49
K00881,9.81,0.24,0.47
K00884,9.33,0.38,0.5
K00889,9.89,0.15,0.24
K00892,9.44,0.41,0.65
K00896,9.53,0.35,0.52
K00906,9.58,0.35,0.56
K00907,9.3,0.34,0.56
K00918,9.11,0.35,0.52
K00921,9.57,0.32,0.5
K00934,9.93,0.14,0.3
K00935,9.72,0.09,0.11
K00939,9.26,0.32,0.51
K00941,9.17,0.38,0.49
K00954,9.9,0.14,0.24
K00958,9.33,0.41,0.49
K00974,9.46,0.12,0.05
K00975,9.6,0.04,0.14
K00981,9.29,0.13,0.11
K00986,9.06,0.36,0.51
K00987,9.56,0.22,0.44
K00988,8.94,0.46,0.51
K00991,9.89,0.14,0.22
K00993,9.8,0.18,0.29
K00999,9.35,0.42,0.64
K01001,9.39,0.04,0.03
K01010,9.72,0.07,0.1
K01015,9.9,0.05,0.05
K01019,9.44,0.09,0.06
K01032,9.91,0.1,0.09
K01050,9.93,0.14,0.25
K01052,9.45,0.26,0.44
K01060,9.64,0.07,0.08
K01069,9.42,0.29,0.48
K01089,9.44,0.2,0.33
K01102,9.48,0.18,0.29
K01113,9.6,0.09,0.11
K01115,9.89,0.03,0.03
K01116,9.8,0.12,0.15
K01117,9.37,0.03,0.04
K01118,9.81,0.06,0.07
K01120,9.39,0.12,0.11
K01126,9.86,0.17,0.29
K01127,9.81,0.09,0.1
K01128,9.71,0.21,0.27
K01145,9.15,0.27,0.39
K01148,9.42,0.12,0.23
K01151,9.93,0.13,0.2
K01161,10.12,0.01,0.03
K01162,10.11,0.02,0.04
K01163,10.02,0.09,0.19
K01165,9.67,0.23,0.51
K01168,9.43,0.12,0.05
K01169,9.87,0.11,0.14
K01175,9.46,0.02,0.02
K01196,10.11,0.02,0.04
K01198,9.53,0.07,0.1
K01199,9.51,0.36,0.58
K01203,9.87,0.16,0.27
K01206,9.49,0.02,0.03
K01215,9.59,0.12,0.05
K01216,9.81,0.04,0.05
K01218,10.05,0.06,0.08
K01220,9.69,0.02,0.02
K01221,9.57,0.05,0.03
K01222,9.39,0.08,0.06
K01230,8.95,0.05,0.05
K01239,9.32,0.33,0.49
K01240,9.75,0.16,0.26
K01241,9.34,0.11,0.08
K01242,9.62,0.08,0.09
K01270,9.52,0.32,0.49
K01271,9.76,0.04,0.04
K01274,10.09,0.04,0.08
K01275,9.82,0.08,0.1
K01276,9.83,0.14,0.22
K01278,10.11,0.02,0.04
K01279,9.95,0.09,0.11
